username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Will Maupin,509643330,Spokane,2023-01-15 00:19:22,Convert 68 to a tight end. That's three times this half. First one ended it for Seattle. Good grief.,0,Twitter Web App,
Chris Gatewood,334357857,"Spokane, WA",2023-01-15 00:12:11,@GeeScottSr Seattle’s will is broken,0,Twitter for iPad,
Ryan Ehrmantrout,814910226113540096,"Spokane, WA",2023-01-15 00:11:33,Watching this: the #Seahawks aren’t even close. The 49ers have a relatively young team with a QB at this point that… https://t.co/pkmFbHb09L,0,Twitter for iPhone,
blank,35233179,spokane washington,2023-01-15 00:00:09,@shehawk76 @Lions @Seahawks @12s Other than seattle is one of the top five richest cities in america.. I bet seattl… https://t.co/kjKCI6pDVL,0,Twitter for Android,
Daniel Walters,234844235,Spokane,2023-01-14 23:46:38,"@kittypurrzog Seattle, Washington",0,Twitter for Android,
Dallas Hammer ⚒,118459525,"Spokane, Washington, USA",2023-01-14 23:46:01,"@NWood509 This is my fault, I’m rooting for Seattle today…",0,Twitter for iPhone,
Jewish Space Laser Technician,2786750178,Spokane,2023-01-14 23:03:24,"@MattLoveless Did you have Seattle playing in the post-season at the beginning of the year? 

This is all gravy IMO.",0,Twitter Web App,
Van Spear,631763272,"Spokane, WA",2023-01-14 23:00:37,Jason Myers with a 56 Yard bomb! Seattle take the lead going into halftime 17-16.  #SEAvsSF,0,Twitter for iPhone,
Ryan Ehrmantrout,814910226113540096,"Spokane, WA",2023-01-14 22:59:52,Wasn’t Ward the one running his mouth in Seattle to DK? Having an absolutely awful game this far today. What a clown shit on Geno. #Seahawks,0,Twitter for iPhone,
Andrew Quinn,1216449073,Slam Diego➡️Spokane,2023-01-14 22:56:43,Oh my goodness a zero IQ play by Jimmie Ward there is gonna give Jason Myers a shot to give Seattle a halftime lead,1,Twitter for iPhone,
Jewish Space Laser Technician,2786750178,Spokane,2023-01-14 22:42:57,"@Sportstalk1428 @Jett_BH It's the two minute warning of the first half. 

Should we just call it off with Seattle up 14-13?",0,Twitter Web App,
Cody Barton's Replacement,878547397466443776,"Spokane, WA",2023-01-14 22:38:59,Tanner muse. Let's keep this guy in Seattle lol,0,Twitter for Android,
BALLER ON A BUDGET,1004314548386447360,"Spokane, WA",2023-01-14 22:24:31,In Seattle https://t.co/79KaZe6uAl,0,Twitter for iPhone,
Tygan,1130636153776877568,"Spokane, WA",2023-01-14 21:59:51,Seattle please….,0,Twitter for iPhone,
Andrew Quinn,1216449073,Slam Diego➡️Spokane,2023-01-14 21:46:48,Godwin Igwebuike has been invaluable on kickoff duty for Seattle,1,Twitter for iPhone,
Sam Ramirez,106677973,"Spokane, WA",2023-01-14 21:35:18,Pretty crazy as great as Russ was in Seattle he never averaged 300 yards per game.,0,Twitter for iPhone,
